번호,소재지전화,사업장명
1,055-851-5400,의료법인 행복한의료재단 사천중앙요양병원
2,055-852-2250,사천동희병원
3,055-834-2345,의료법인 삼포의료재단 현대요양병원
4,055-389-1234,양산병원
5,055-806-8600,프라임요양병원
6,055-532-1975,의료법인창녕서울의료재단창녕서울병원
7,043-211-0663,서로손병원
8,055-832-3311,의료법인 덕산의료재단 한마음병원
9,055-854-6000,의료법인 순영의료재단 순영병원
10,055-794-2900,의료법인 행복한의료재단 경남도립사천노인전문병원
11,055-835-9900,의료법인승연의료재단 삼천포서울병원
12,055-833-4400,삼천포제일병원
13,055-852-8175,사천서울아동병원
14,055-832-3311,의료법인 덕산의료재단 한마음노인요양병원
15,041-951-8282,의료법인 서해병원
16,041-951-8114,서천사랑병원
17,041-953-7145,서천요양병원
18,041-930-5114,재단법인아산사회복지재단보령아산병원
19,041-935-2650,통합요양병원
20,041-931-8330,신제일병원
21,041-950-5200,서천한국요양병원
22,041-952-7147,동서천요양병원
23,041-934-1522,보령엘피스병원
24,041-935-1166,보령시립노인전문병원
25,041-355-2002,당진솔담요양병원
26,041-351-0200,당진성모병원
27,041-351-3200,열린내과병원
28,041-362-9550,당진요양병원
29,041-357-2875,의료법인 이손의료재단 이손치과병원
30,041-357-0100,당진종합병원
31,031-379-6000,의료법인 일선의료재단 화성현대요양병원
32,031-8015-9999,의료법인상운의료재단 동탄제일병원
33,031-8086-3000,한림대학교동탄성심병원
34,031-8060-5000,센트럴아동병원
35,031-366-7585,의료법인 정도의료재단 아미고병원
36,031-352-0885,의료법인 승민의료재단 화성초록병원
37,031-8003-5800,메타메디병원
38,031-8015-3333,동탄시티병원
39,031-307-7997,새샘병원
40,237-2114,청주현대병원
41,043272-0001,모태안여성병원
42,043640-6100,의료법인 창민의료재단 제천병원
43,043640-6000,의료법인 창민의료재단 제천노인전문요양병원
44,221-5000,의료법인정산의료재단효성병원
45,031-891-7575,삼성우리요양병원
46,031-291-8331,화성해인요양병원
47,043-878-4111,의료법인 음성소망의료재단 음성소망병원
48,879-0303,(재)예수의꽃동네유지재단 인곡자애병원
49,878-4343,의료법인 현대소망의료재단 현대병원
50,252-3000,남궁요양병원
51,290-5640,공군항공우주의료원
52,043-270-8114,하나노인전문병원
53,221-1122,서울아동병원
54,043-219-8000,청주성모병원
55,222-7000,의료법인인화재단한국병원
56,260-8200,의료법인혜광의료재단충북병원
57,043-286-0692,주사랑병원
58,218-0119,오창중앙병원
59,043-220-8000,청주시립요양병원
60,043-215-7075,예미담요양병원
61,265-7337,예사랑병원
62,043-291-8114,씨엔씨푸른병원
63,234-7509,새빛병원
64,043233-6000,서원요양병원
65,043-296-5000,의료법인 하람의료재단 청주탑요양병원
66,043-223-8124,청주삼성병원
67,043-298-9988,마디사랑병원
68,043-265-0071,의료법인송암의료재단마이크로재활병원
69,043-730-7000,의료법인 힐링의료재단 옥천성모병원
70,043-731-0066,의료법인창곡의료재단 참조은요양병원
71,043-221-0119,뿌리병원
72,043-287-7715,충북도립노인전문병원
73,043-298-9100,의료법인 참사랑재단 참사랑요양병원
74,043-265-0071-2,의료법인송암의료재단마이크로병원
75,043-883-8800,의료법인 태성의료재단 제일조은병원
76,043-878-8600,의료법인순원의료재단 굿모닝요양병원
77,043-642-7606,의료법인자산의료재단제천서울병원
78,043-649-1850,학교법인대원교육재단세명대학교부속한방병원
79,043-286-7700,청주나비솔한방병원
80,043646-0808,청풍호노인사랑병원
81,043-653-7700,의료법인솔트의료재단예성요양병원
82,043640-8114,의료법인 명지의료재단 명지병원
83,043-640-3820,의료법인 성지의료재단 제천성지병원
84,043-288-3535,아이웰어린이병원
85,043-267-0301,의료법인원광의료재단청주원광효도요양병원
86,043-642-4000,제천우석요양병원
87,043-211-9090,첼로병원
88,031-8077-7200,의료법인 원광의료재단 원광종합병원
89,031-233-9114,의료법인 은혜와감사의료재단 향남스마트병원
90,031-356-8275,화성한방병원
91,031-1566-8375,동탄튼튼한방병원
92,031-526-0030,제일요양병원
93,031-319-0119,수앤수병원
94,031-375-1122,동탄성모병원
95,02-437-5011,의료법인풍산의료재단동부제일병원
96,1577-6336,강북21세기병원
97,02-490-4000,장스여성병원
98,02-490-2000,녹색병원
99,02-433-3336,조앤조병원
100,1661-0592,마디세상병원
101,02-493-9700,한걸음요양병원
102,02-2209-6677,서울라본병원
103,-9236,가톨릭대학교 여의도성모병원
104,02-1899-1475,명지성모병원
105,02-2678-0001,씨엠병원
106,02-829-9000,대림성모병원
107,02-2297-9988,9988병원
108,02-588-2833,서울탑치과병원
109,02-570-8000,서울특별시어린이병원
110,215881511,학교법인가톨릭학원가톨릭대학교서울성모병원
111,02-536-5599,재단법인 동국한방병원
112,02-586-5557,의료법인 청해의료재단 제일병원
113,6388-8114,대항병원
114,02-593-0725,필치과병원
115,02-2639-5114,한림대학교 한강성심병원
116,02-2046-5201,연세사랑병원
117,25232875,서울귀한이치과병원
118,02-2069-0000,마리아성모요양병원
119,02-829-5114,한림대학교 강남성심병원
120,1577-8907,고도일병원
121,28320151,강남요양병원
122,215880831,참포도나무병원
123,234743653,365엠씨(mc)병원
124,02-593-0052,장덕한방병원
125,25371700,이건목원리한방병원
126,1588-3094,세바른병원
127,1577-2639,건양의료재단 김안과병원
128,02-2635-2809,의료법인 인봉의료재단 영등포병원
129,02-2634-7000,서울은빛요양병원
130,-8796,의료법인 부원의료재단 서초요양병원
131,02-2282-0001,서울특별시장애인치과병원
132,02-462-0114,서울효사랑요양병원
133,02-2247-7272,시온요양병원
134,02-3394-9878,굿모닝요양병원
135,02-3408-2100,학교법인대진교육재단 제인병원
136,02-6081-2114,의료법인 참예원의료재단 서초참요양병원
137,02-588-7575,서초프라임요양병원
138,02-587-8875,올바로병원
139,515-7300,길인의료재단 기린한방병원
140,02-3477-0880,서울21세기병원
141,02-599-2472,가야치과병원
142,02-2290-8114,한양대학교병원
143,02-2281-0010,연세슬기병원
144,031-8041-3521,의료법인석경의료재단 센트럴요양병원
145,02-464-2700,서울프라임병원
146,055-724-3119,진영새싹병원
147,055-903-1234,김해바른병원
148,043-910-7575,재단법인베스티안재단베스티안병원
149,053-951-9119,의료법인 효민의료재단 큰사랑병원
150,061287-8573,편안한방병원
151,031-984-8688,일로한방병원
152,042-365-0101,의료법인비에스의료재단 브레인요양병원
153,02-1899-5868,포레스트한방병원
154,062-718-2000,중앙생한방병원
155,02-6741-1075,일로한방병원
156,02-6951-1245,파라솔요양병원
157,02-2616-7755,오케이요양병원
158,02-2202-2080,더바름치과병원
159,02-2066-7513,힘찬하나로한방병원
160,031-317-9990,시흥더봄요양병원
161,031-847-7000,아이엠요양병원
162,710-6678,의료법인창성의료재단 일신치과병원
163,055-536-9000,의료법인 동림의료재단 로얄힐스요양병원
164,031-637-7400,이천더블유소망병원
165,02-930-2841,샤인치과교정과 치과병원
166,18990058,의료법인 신생의료재단 센트럴병원
167,-3879,메디그린한방병원
168,051-960-0100,동아대학교대신병원
169,031-996-9666,김포다조은병원
170,-1811,히즈메디병원
171,031-484-2500,베드로요양병원
172,032-422-7582,인천수한방병원
173,064-759-5080,지오요양병원
174,063-581-9116,부안군노인요양병원
175,063-584-7100,부안효요양병원
176,063-581-5100,부안성모병원
177,063-583-5001,의료법인 혜성병원
178,063-583-3366,부안21세기병원
179,063-581-3800,의료법인 힐튼의료재단 솔병원
180,02-1833-7037,서울힐링요양병원
181,061338-7700,엔에이치미래아동병원
182,051-322-0050,의료법인 영재의료재단 큰솔2병원
183,055-310-5500,(의)수의료재단 서청솔요양병원
184,053-250-8114,계명대학교대구동산병원
185,062-268-6000,온한방병원
186,032-428-7582,인천국제한방병원
187,044-715-7200,아름드리나무어린이병원
188,054-452-9000,의료법인 승미의료재단 구미으뜸병원
189,043-1800-7799,에이스요양병원
190,054-727-2550,소담한방병원
191,051-751-1515,의료법인 은빛의료재단 세하병원
192,062-527-3333,운암튼튼병원
193,062-675-6000,백운한방병원
194,042-542-1075,고래한방병원
195,052-276-7000,율제요양병원
196,053-716-6330,우리허브병원
197,032-721-8288,검단조은아이365병원
198,031-203-2300,리베르여성병원
199,032-508-7513,모아병원
200,-3554,연세와병원
201,02-381-2299,바른쎌한방병원
202,031-1800-8119,에이비씨병원
203,051-715-7500,큰힘병원
204,061-900-0000,순정병원
205,1600-5626,서울현병원
206,02-333-8801,청담해리슨병원
207,033)255-0085,베드로병원
208,033-264-9885,춘천예현병원
209,033-255-8515,봄내병원
210,033)260-3000,국립춘천병원
211,031-893-0007,수원본바른한방병원
212,033-642-1100,(의)아나의료재단 강릉아나병원
213,043542-3100,의료법인 의명의료재단 마음편한병원
214,655-1133,강릉율곡병원
215,033-731-3111,새마음병원
216,033-733-1199,내안에병원
217,064-759-9641,의료법인 연강의료재단 연강참병원
218,053-573-0119,제이원병원
219,055-249-5555,의료법인예경의료재단예경병원
220,054-555-8275,의료법인 성심의료재단 늘푸른병원
221,055-540-7700,동양의료재단연세사랑병원
222,055-240-8002,의료법인한길사랑의료재단현대사랑병원
223,032-207-7070,마음편한병원
224,033)261-0999,의료법인춘천서인병원
225,055-230-1800,의료법인청아의료재단동서병원
226,053-656-8381,이즈병원
227,052-260-9000,새봄한방병원
228,062-233-1111,다움요양병원
229,062-260-2700,우암병원
230,062-527-0134,새운암병원
231,062-251-8400,해피니스요양병원
232,062-720-9100,에스케이제이병원
233,062-260-3000,에덴병원
234,062-520-3800,진요양병원
235,062-514-0012,서강한방병원
236,062-575-5100,장원한방병원
237,062-531-5000,광주양지요양병원
238,062-522-5004,천사요양병원
239,062-530-5500,전남대학교치과병원
240,062-530-7000,그린요양병원
241,062-260-8000,북구우리들병원
242,062-269-1500,은병원
243,062-372-6000,튼튼정형외과병원
244,062-250-1000,광주굿모닝병원
245,062-523-2200,리더스용봉한방병원
246,062-512-3500,효드림요양병원
247,062-367-1001,세종한방병원
248,062-570-0336,광주현대병원
249,062-260-7000,광주병원
250,062-519-9000,해피뷰병원
251,062-571-9595,배가한방병원
252,062-602-9000,빛고을여성병원
253,062-464-5000,새우리한방병원
254,062-571-2222,소리청일곡에스한방병원
255,062-411-0000,새나래병원
256,062-234-4568,엄마요양병원
257,062-460-1000,제이한방병원
258,062-224-1075,편한한방병원
259,062-716-1075,올다몸과맘한방병원
260,062-608-7013,광주일곡병원
261,062-250-2500,북구미래아동병원
262,062-510-2000,에이치요양병원
263,"062-601-2000,2131",첨단우암병원
264,062-608-6000,광주희망병원
265,062-717-7500,엔탑이비인후과병원
266,062-608-8000,운암한국병원
267,062-520-7000,광주연세요양병원
268,622208000,아이맘아동병원
269,062-260-2900,광주미래병원
270,062-251-7000,햇살한방병원
271,062-716-5400,새운암한방병원
272,062-252-1075,다나한방병원
273,062-521-6500,늘푸른요양병원
274,519-5000,첨단THE선요양병원
275,053-642-2475,진천신라병원
276,053-284-0119,한미병원
277,053-662-1000,서대구대동병원
278,053-524-6601,에스병원
279,053-269-7000,열린아동병원
280,053-560-9114,의료법인구의료재단 구병원
281,053-634-1000,마디탄탄병원
282,053-626-7100,송현효요양병원
283,053-620-7300,의료법인상보의료재단 대구경상병원
284,053-659-3100,삼일병원
285,053-550-5000,더블유병원
286,053-629-8119,미주병원
287,053-630-8000,참조은병원
288,534230100,으뜸병원
289,053-715-3300,누네안과병원
290,053-218-8800,대한요양병원
291,715-7111,대구자생한방병원
292,600-7114,경북대학교치과병원
293,053-200-5114,경북대학교병원
294,053-252-2401,곽병원
295,053-423-3500,내이치과병원
296,053-250-1100,남산병원
297,053-256-2145,로이스덕영치과병원
298,053-212-3000,우리들병원
299,053-606-0777,분홍빛으로병원
300,532121000,미르치과병원
301,053-560-1000,에프엠치과병원
302,053-620-7300,의료법인상보의료재단 대구경상요양병원
303,053-652-2220,휴요양병원
304,053-522-1275,위드병원
305,534255919,백두병원
306,053-630-7000,한국보훈복지의료공단 대구보훈병원
307,053-215-6200,의료법인 일민의료재단 세강병원
308,053-760-1000,의료법인해성의료재단해성아리즈웰병원
309,053-641-9200,(의)서봉의료재단 보강병원
310,053-651-3232,보광병원
311,053-584-6655,성서병원
312,053-606-1616,의료법인명문의료재단 대구기독병원
313,053-654-3447,곽치과병원
314,053-527-0300,의료법인열경의료재단 허병원
315,053-608-7000,미래여성병원
